valid_time,ecmwf_max_c,ecmwf_prom_c,ecmwf_min_c,lead_hours,bias_correction_max_c,forecast_max_c,persistence_max_c,uncertainty_max_c,forecast_max_lower_c,forecast_max_upper_c,bias_correction_prom_c,forecast_prom_c,persistence_prom_c,uncertainty_prom_c,forecast_prom_lower_c,forecast_prom_upper_c,bias_correction_min_c,forecast_min_c,persistence_min_c,uncertainty_min_c,forecast_min_lower_c,forecast_min_upper_c,is_operational_forecast
2026-05-12 09:00:00,10.236969,9.870117,9.897614,3.0,3.2311328125000003,13.468101806640625,20.97,3.5097054036458335,9.958396402994792,16.977807210286457,2.8352673339843744,12.705384521484374,20.89,3.194610188802083,9.510774332682292,15.899994710286457,2.1849035644531245,12.08251708984375,18.02,3.339211018880208,8.743306070963541,15.421728108723958,False
2026-05-12 12:00:00,10.338867,10.694733,9.505096,6.0,3.2311328125000003,13.57,20.97,3.5097054036458335,10.060294596354167,17.079705403645832,2.8352673339843744,13.53,20.89,3.194610188802083,10.335389811197917,16.72461018880208,2.1849035644531245,11.69,18.02,3.339211018880208,8.350788981119791,15.029211018880208,False
2026-05-12 15:00:00,15.455048,15.57132,10.679657,9.0,3.9209777832031225,19.376025390624996,20.97,2.3783837890625,16.997641601562496,21.754409179687496,3.6767333984374986,19.248052978515624,20.89,2.5322663574218747,16.71578662109375,21.7803193359375,6.231578369140623,16.911235351562496,18.02,4.3457373046875,12.565498046874996,21.256972656249996,False
2026-05-12 18:00:00,18.69217,18.612701,15.590363,12.0,2.7306359863281244,21.42280517578125,20.97,1.8433959960937507,19.5794091796875,23.266201171875,2.672008056640628,21.284709472656253,20.89,2.1453576660156237,19.13935180664063,23.430067138671877,4.166530761718751,19.756893310546875,18.02,2.3554746093750007,17.401418701171874,22.112367919921876,False
2026-05-12 21:00:00,18.652557,15.653137,15.732697,15.0,1.594378662109376,20.246936035156253,20.97,2.655460205078125,17.591475830078128,22.902396240234378,2.3066119384765633,17.959749145507814,20.89,1.841870117187499,16.117879028320317,19.80161926269531,2.265528564453124,17.99822509765625,18.02,1.8426000976562484,16.155625,19.840825195312497,True
2026-05-13 00:00:00,15.709564,12.384247,12.475311,18.0,1.2663513183593782,16.97591552734375,20.97,2.583481445312497,14.392434082031254,19.55939697265625,2.7909130859375004,15.175159912109375,20.89,1.8098754882812482,13.365284423828127,16.985035400390622,2.7280517578124996,15.203363037109375,18.02,1.6566943359375,13.546668701171875,16.860057373046875,True
2026-05-13 03:00:00,12.359772,10.5336,10.634247,21.0,2.324840087890623,14.684611816406248,20.97,2.046717529296876,12.637894287109372,16.731329345703124,2.701719970703124,13.235319824218749,20.89,1.756479289516639,11.47884053470211,14.991799113735388,2.6453430175781225,13.279589843749998,18.02,1.3641210937500023,11.915468749999995,14.6437109375,True
2026-05-13 06:00:00,10.562836,10.155365,9.93985,24.0,2.4245275878906227,12.987363281249998,20.97,1.684036865234372,11.303326416015626,14.67140014648437,2.775780029296877,12.931145019531252,20.89,1.350048828124999,11.581096191406253,14.281193847656251,2.936546630859377,12.876396484375002,18.02,1.326751708984375,11.549644775390627,14.203148193359377,True
2026-05-13 09:00:00,10.171661,9.355652,9.355988,27.0,2.889058837890623,13.060720214843748,20.97,1.3063107910156273,11.75440942382812,14.367031005859376,3.3618017578125006,12.71745361328125,20.89,1.4349719238281242,11.282481689453126,14.152425537109375,3.117357177734375,12.4733447265625,18.02,1.2,11.2733447265625,13.6733447265625,True
2026-05-13 12:00:00,10.72406,11.096405,9.29599,30.0,3.8008703613281227,14.524930419921873,20.97,2.1288134765625006,12.396116943359372,16.65374389648437,3.5492272949218773,14.645632324218752,20.89,2.1376306152343734,12.508001708984379,16.783262939453124,3.4337316894531256,12.7297216796875,18.02,2.1036035156249984,10.626118164062502,14.833325195312499,True
